TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,TIME_5,RE_5,LE_5,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed,RE_5_processed,LE_5_processed
2003-08-15 12:07:34.0130,-0.4,0.0,2003-08-15 12:09:03.0130,-0.3,-0.9,2003-08-15 12:11:51.0130,-0.5,0.2,2003-08-15 12:14:20.0130,-0.4,0.0,2003-08-15 12:15:27.0130,-0.1,-0.2,0.32142902792242095,0.9595658367389955,0.6123102583890515,1.13887303482611,0.666108762350868,1.1857325895306636,0.09830498775034795,-0.15476789353892287,0.8654134214288097,0.7479548000498023
2003-08-15 12:07:34.0136,-0.2,0.1,2003-08-15 12:09:03.0136,-0.2,-0.9,2003-08-15 12:11:51.0136,-0.4,0.0,2003-08-15 12:14:20.0136,-0.3,0.0,2003-08-15 12:15:27.0136,-0.2,-0.1,0.26890427366298025,0.9626269020060312,0.5927618690683943,1.145528504149781,0.7144469474367935,1.136756259527686,0.05855465617910235,-0.17839660010163338,0.8551110462710382,0.7386326557021673
2003-08-15 12:07:34.0142,0.0,0.1,2003-08-15 12:09:03.0142,-0.2,-0.8,2003-08-15 12:11:51.0142,-0.3,0.0,2003-08-15 12:14:20.0142,-0.3,0.0,2003-08-15 12:15:27.0142,-0.2,-0.1,0.2219255481925699,0.9630430814185859,0.5721548605326454,1.1535655754756393,0.7567435617026741,1.0891479920471903,0.021730258527853208,-0.19488061315000418,0.8436196081804043,0.7299900013115412
2003-08-15 12:07:34.0148,0.0,0.1,2003-08-15 12:09:03.0148,-0.1,-0.7,2003-08-15 12:11:51.0148,-0.2,-0.1,2003-08-15 12:14:20.0148,-0.2,0.0,2003-08-15 12:15:27.0148,-0.1,0.0,0.18113410469188052,0.9604741547297697,0.5503751580997204,1.162371364918629,0.7920276974843947,1.0440761980696998,-0.011939253466193457,-0.20346622795052108,0.831118102133055,0.7220003865531089
2003-08-15 12:07:34.0153,-0.2,0.2,2003-08-15 12:09:03.0153,0.0,-0.5,2003-08-15 12:11:51.0153,-0.1,-0.2,2003-08-15 12:14:20.0153,-0.2,0.1,2003-08-15 12:15:27.0153,0.0,0.0,0.14688394140711075,0.9546127435417997,0.5273460588817401,1.1712722224601781,0.8196596061557693,1.0025821033743596,-0.04239859562634321,-0.20367687849355476,0.8177873376483232,0.7145939210656314
2003-08-15 12:07:34.0159,-0.4,0.3,2003-08-15 12:09:03.0159,0.0,-0.4,2003-08-15 12:11:51.0159,-0.1,-0.2,2003-08-15 12:14:20.0159,-0.1,0.1,2003-08-15 12:15:27.0159,-0.1,0.0,0.11925238717631398,0.9451954330436367,0.5030425753019567,1.1795558242711117,0.8393328262323313,0.9655414874269838,-0.06974488105428596,-0.19532042754630025,0.8038053766284035,0.707663372457859
2003-08-15 12:07:34.0165,-0.5,0.2,2003-08-15 12:09:03.0165,0.0,-0.2,2003-08-15 12:11:51.0165,-0.1,-0.3,2003-08-15 12:14:20.0165,0.0,0.1,2003-08-15 12:15:27.0165,0.0,0.0,0.09806143691572604,0.9320135874059869,0.4775022078449149,1.1864955285561103,0.851063138899384,0.9336329268564999,-0.09419976573889581,-0.17848630663134446,0.7893446725039408,0.7010712842328044
2003-08-15 12:07:34.0171,-0.6,0.0,2003-08-15 12:09:03.0171,0.0,-0.2,2003-08-15 12:11:51.0171,-0.3,-0.5,2003-08-15 12:14:20.0171,0.0,0.2,2003-08-15 12:15:27.0171,0.0,-0.2,0.0829087128876381,0.914923387324887,0.45083114789746476,1.1913756468139507,0.8551650753103595,0.9073139731149404,-0.11607727393131186,-0.1535328779275183,0.7745707427820197,0.6946577311351314
2003-08-15 12:07:34.0177,-0.5,0.0,2003-08-15 12:09:03.0177,-0.1,-0.3,2003-08-15 12:11:51.0177,-0.5,-0.6,2003-08-15 12:14:20.0177,0.1,0.0,2003-08-15 12:15:27.0177,-0.1,-0.2,0.07320676101111633,0.89385468716568,0.42320531558756813,1.1935162929055434,0.852217311525815,0.8868064198544612,-0.13574965928584634,-0.12106566890543742,0.7596421278474615,0.6882484590233039
2003-08-15 12:07:34.0183,-0.3,0.0,2003-08-15 12:09:03.0183,-0.3,-0.3,2003-08-15 12:11:51.0183,-0.7,-0.6,2003-08-15 12:14:20.0183,0.0,0.1,2003-08-15 12:15:27.0183,-0.2,-0.3,0.0682290988992667,0.8688183823508986,0.39486612644888286,1.1922966289254917,0.8430188781637268,0.8720914963939349,-0.15361356985681282,-0.0819073775972117,0.7447113650400934,0.6816632828918042
2003-08-15 12:07:34.0189,0.0,-0.1,2003-08-15 12:09:03.0189,-0.4,-0.4,2003-08-15 12:11:51.0189,-0.9,-0.6,2003-08-15 12:14:20.0189,0.0,0.3,2003-08-15 12:15:27.0189,-0.2,-0.3,0.0671610393205303,0.8399120546649927,0.3661114042432311,1.1871755881340322,0.8285386074343192,0.8629154324057411,-0.17005852841032473,-0.037060796091144016,0.7299267151090081,0.6747246971024865
2003-08-15 12:07:34.0195,0.2,-0.1,2003-08-15 12:09:03.0195,-0.5,-0.5,2003-08-15 12:11:51.0195,-0.9,-0.6,2003-08-15 12:14:20.0195,-0.1,0.5,2003-08-15 12:15:27.0195,-0.2,-0.3,0.06915291386181922,0.8073237020838988,0.3372823531779642,1.1777094565539103,0.8098605656419899,0.8588053601831172,-0.18543935398464303,0.012333917537394583,0.715434386400527,0.6672666581318849
2003-08-15 12:07:34.0201,0.3,-0.2,2003-08-15 12:09:03.0201,-0.7,-0.5,2003-08-15 12:11:51.0201,-0.9,-0.4,2003-08-15 12:14:20.0201,-0.1,0.6,2003-08-15 12:15:27.0201,-0.2,-0.2,0.07337304336257064,0.7713333699780243,0.3087479061705039,1.1635659765656587,0.7881283312260177,0.8590949714565914,-0.20005369934180284,0.0650458853608117,0.7013809801721297,0.6591434321990283
2003-08-15 12:07:34.0207,0.3,-0.2,2003-08-15 12:09:03.0207,-1.0,-0.7,2003-08-15 12:11:51.0207,-0.9,-0.3,2003-08-15 12:14:20.0207,0.0,0.8,2003-08-15 12:15:27.0207,0.0,-0.1,0.0790577539098904,0.7323125016128681,0.2808880281783417,1.144534861886458,0.7644908860238168,0.8629587689971275,-0.2141254278953093,0.11980208817664421,0.6879158219313964,0.6502382835797044
2003-08-15 12:07:34.0212,0.1,-0.1,2003-08-15 12:09:03.0212,-1.1,-0.7,2003-08-15 12:11:51.0212,-1.1,0.0,2003-08-15 12:14:20.0212,-0.1,0.8,2003-08-15 12:15:27.0212,0.0,-0.2,0.08555596347346761,0.6907208290568614,0.2540776457395007,1.1205347687809653,0.7400526475801713,0.8694532021099529,-0.22779414288230948,0.1753357785157613,0.6751927749232179,0.6404716552669568
2003-08-15 12:07:34.0218,0.0,-0.2,2003-08-15 12:09:03.0218,-1.1,-0.7,2003-08-15 12:11:51.0218,-1.3,0.1,2003-08-15 12:14:20.0218,-0.1,0.9,2003-08-15 12:15:27.0218,0.0,-0.1,0.09236632094539825,0.6471006394418956,0.2286727668242193,1.0916168491965994,0.7158298528796322,0.8775625071047435,-0.24111080806006455,0.2304327017948345,0.6633710983998828,0.6298084052086075
2003-08-15 12:07:34.0224,0.0,-0.2,2003-08-15 12:09:03.0224,-1.1,-0.7,2003-08-15 12:11:51.0224,-1.5,0.4,2003-08-15 12:14:20.0224,-0.2,0.9,2003-08-15 12:15:27.0224,0.0,-0.1,0.09916545559772047,0.602068293008388,0.2050000220409134,1.057965021528771,0.6927151429467516,0.8862467483434511,-0.254039035930742,0.283973340174607,0.6526149582937273,0.6182636354748023
2003-08-15 12:07:34.0230,0.0,-0.2,2003-08-15 12:09:03.0230,-0.9,-0.6,2003-08-15 12:11:51.0230,-1.4,0.4,2003-08-15 12:14:20.0230,-0.2,0.8,2003-08-15 12:15:27.0230,0.0,-0.2,0.10582646420473364,0.556302960159162,0.18335031257021356,1.0198930520720906,0.6714517693711161,0.8944894218514109,-0.26646125676110693,0.33496975297661014,0.6430913394097081,0.6059066885808424
2003-08-15 12:07:34.0236,-0.1,-0.5,2003-08-15 12:09:03.0236,-0.6,-0.6,2003-08-15 12:11:51.0236,-1.4,0.5,2003-08-15 12:14:20.0236,-0.4,0.8,2003-08-15 12:15:27.0236,-0.1,-0.1,0.11242724051067673,0.5105326960090368,0.16397657078548958,0.9778384825411525,0.6526182975595004,0.9013420674844353,-0.27818864515383246,0.3825960011251586,0.634966330151755,0.5928629694219913
2003-08-15 12:07:34.0242,-0.1,-0.6,2003-08-15 12:09:03.0242,-0.3,-0.6,2003-08-15 12:11:51.0242,-1.1,0.6,2003-08-15 12:14:20.0242,-0.4,0.8,2003-08-15 12:15:27.0242,-0.3,-0.1,0.11924861936522284,0.465518173866944,0.1470949540230069,0.9323534145344966,0.6366240017320381,0.9059636327190818,-0.28897341316901537,0.4262115431584643,0.6284000171001686,0.5793133674786818
2003-08-15 12:07:34.0248,0.0,-0.8,2003-08-15 12:09:03.0248,0.0,-0.7,2003-08-15 12:11:51.0248,-0.8,0.4,2003-08-15 12:14:20.0248,-0.5,0.9,2003-08-15 12:15:27.0248,-0.4,-0.1,0.12676258854256683,0.42203462488954635,0.1328882478575642,0.884092210615226,0.6237143883221572,0.9076528084012064,-0.2985219199547598,0.46537731631832474,0.6235404958924189,0.5654911927295823
2003-08-15 12:07:34.0254,0.2,-1.0,2003-08-15 12:09:03.0254,0.0,-0.9,2003-08-15 12:11:51.0254,-0.5,0.2,2003-08-15 12:14:20.0254,-0.7,0.9,2003-08-15 12:15:27.0254,-0.4,-0.3,0.13561104147247477,0.3808527357059069,0.12150999508860898,0.8337963097412544,0.6139855603352223,0.9058721623043969,-0.30650703078324343,0.4998644368604267,0.6205177275917517,0.5516766991188252
2003-08-15 12:07:34.0260,0.2,-1.2,2003-08-15 12:09:03.0260,-0.3,-1.3,2003-08-15 12:11:51.0260,-0.5,0.0,2003-08-15 12:14:20.0260,-0.7,0.9,2003-08-15 12:15:27.0260,-0.6,-0.4,0.1465757336015256,0.3427193931163974,0.11308798865778197,0.7822765639938223,0.6074055774146583,0.900263563429594,-0.3125783082383401,0.5296555822091089,0.6194380939682984,0.5381894518100897
2003-08-15 12:07:34.0266,0.1,-1.2,2003-08-15 12:09:03.0266,-0.7,-1.4,2003-08-15 12:11:51.0266,-0.7,-0.1,2003-08-15 12:14:20.0266,-0.8,1.1,2003-08-15 12:15:27.0266,-0.6,-0.4,0.16054031335159635,0.3083392028739838,0.10772626933934316,0.730393728713563,0.6038406807504635,0.8906550332031825,-0.31636895343638316,0.554939195239745,0.6203804987032664,0.5253789796902145
2003-08-15 12:07:34.0272,0.0,-1.2,2003-08-15 12:09:03.0272,-1.1,-1.4,2003-08-15 12:11:51.0272,-0.8,-0.2,2003-08-15 12:14:20.0272,-0.7,1.2,2003-08-15 12:15:27.0272,-0.5,-0.5,0.17844557495648122,0.27835763547491527,0.10550551468609386,0.6790378979302676,0.6030842677566982,0.8770596874829747,-0.31749894829919445,0.5760967177869878,0.6233947233672065,0.5136142994391854
2003-08-15 12:07:34.0277,0.0,-1.2,2003-08-15 12:09:03.0277,-1.3,-1.3,2003-08-15 12:11:51.0277,-0.9,-0.2,2003-08-15 12:14:20.0277,-0.4,1.1,2003-08-15 12:15:27.0277,-0.5,-0.5,0.20123942615257176,0.2533464752359906,0.10648244678972288,0.629107701009349,0.6048867429340431,0.8596677850607686,-0.3155745686574571,0.5936831505517134,0.6285024960317954,0.5032729633940417
2003-08-15 12:07:34.0283,0.1,-1.1,2003-08-15 12:09:03.0283,-1.3,-1.3,2003-08-15 12:11:51.0283,-0.9,-0.3,2003-08-15 12:14:20.0283,-0.1,1.1,2003-08-15 12:15:27.0283,-0.4,-0.6,0.2298234212707547,0.2337920048129022,0.11068936221758227,0.5814899559656548,0.608984693838226,0.8388330698782095,-0.3101852718816895,0.6084013861138426,0.6357013996742245,0.49473026321096064
2003-08-15 12:07:34.0289,0.1,-1.0,2003-08-15 12:09:03.0289,-1.1,-1.3,2003-08-15 12:11:51.0289,-0.7,-0.3,2003-08-15 12:14:20.0289,0.1,1.0,2003-08-15 12:15:27.0289,-0.2,-0.5,0.2649980130481823,0.22008609761155082,0.11813494014874448,0.5370402771353601,0.6151281160332313,0.8150546239686434,-0.3008997664317947,0.621070987878372,0.6449713871076606,0.4883491315497289
2003-08-15 12:07:34.0295,0.0,-1.0,2003-08-15 12:09:03.0295,-0.9,-1.5,2003-08-15 12:11:51.0295,-0.7,-0.4,2003-08-15 12:14:20.0295,0.3,1.1,2003-08-15 12:15:27.0295,-0.2,-0.5,0.3074089022438584,0.2125201645460356,0.12880712155393453,0.496564955190858,0.6231045902327238,0.7889553850689618,-0.28726364860447584,0.632592358385115,0.6562833358200377,0.4844711437699887
2003-08-15 12:07:34.0301,-0.1,-1.0,2003-08-15 12:09:03.0301,-0.7,-1.6,2003-08-15 12:11:51.0301,-0.7,-0.4,2003-08-15 12:14:20.0301,0.5,1.1,2003-08-15 12:15:27.0301,-0.2,-0.4,0.3574970312662914,0.21128174389099985,0.14267822421750054,0.4608043226132653,0.6327594315437824,0.7612583634157891,-0.2688011694347124,0.6439074926697558,0.6696088170494204,0.48340884950576263
2003-08-15 12:07:34.0307,-0.4,-1.1,2003-08-15 12:09:03.0307,-0.4,-1.5,2003-08-15 12:11:51.0307,-0.7,-0.4,2003-08-15 12:14:20.0307,0.5,1.1,2003-08-15 12:15:27.0307,-0.1,-0.4,0.4154548840758232,0.21645344828510477,0.15971177879877668,0.4304177793532822,0.6440109508554342,0.7327614364080677,-0.24502338944394136,0.6559587073794946,0.6849300957355898,0.4854394865700193
2003-08-15 12:07:34.0313,-0.5,-1.1,2003-08-15 12:09:03.0313,-0.2,-1.5,2003-08-15 12:11:51.0313,-0.8,-0.3,2003-08-15 12:14:20.0313,0.3,1.2,2003-08-15 12:15:27.0313,0.0,-0.4,0.48119177741008196,0.22801398017923188,0.17987002870757804,0.40597063510582226,0.6568601345629976,0.7043114200009514,-0.21544421164003905,0.6696468833080695,0.7022493206517367,0.4907999785247373
