TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed
2003-04-03 13:07:05.0714,-2.1,-0.7,2003-04-03 13:10:01.0714,-1.8,-1.5,2003-04-03 13:13:30.0714,-2.8,0.3,-0.5288970379304004,-0.4584472380642162,-0.49694030145734874,0.817917526034409,0.2760679658244386,1.0708893120399534
2003-04-03 13:07:05.0720,-2.0,-0.7,2003-04-03 13:10:01.0720,-2.0,-1.5,2003-04-03 13:13:30.0720,-2.6,0.3,-0.6085795647944138,-0.49545634342791023,-0.4859099311464461,0.8605740137981757,0.21160566478020246,1.0119467661691648
2003-04-03 13:07:05.0726,-2.0,-0.7,2003-04-03 13:10:01.0726,-2.1,-1.3,2003-04-03 13:13:30.0726,-2.5,0.3,-0.6689679411235758,-0.5180946850102428,-0.47939347575825875,0.8895971160229422,0.14831341838147805,0.9494948893775986
2003-04-03 13:07:05.0732,-2.0,-0.8,2003-04-03 13:10:01.0732,-2.1,-1.1,2003-04-03 13:13:30.0732,-2.3,0.2,-0.7098637450452469,-0.5282697430381301,-0.4771762559009806,0.9042439987228261,0.08627503802860695,0.8840896497103455
2003-04-03 13:07:05.0738,-2.1,-0.7,2003-04-03 13:10:01.0738,-2.1,-1.0,2003-04-03 13:13:30.0738,-2.5,0.0,-0.7314614647492392,-0.5280833119138003,-0.47887914690444133,0.9041364767845538,0.025536230986058592,0.8163518382107322
2003-04-03 13:07:05.0744,-2.3,-0.6,2003-04-03 13:10:01.0744,-2.1,-0.9,2003-04-03 13:13:30.0744,-2.7,-0.4,-0.7343335616624201,-0.5197484752843756,-0.4839810898388125,0.8892888999750557,-0.03388136051673438,0.7469424897333479
2003-04-03 13:07:05.0750,-2.4,-0.5,2003-04-03 13:10:01.0750,-2.1,-0.8,2003-04-03 13:13:30.0750,-2.9,-0.7,-0.7194115233212305,-0.5055095151469028,-0.49184658482444865,0.8601216052669792,-0.09196798590877565,0.6765362233494504
2003-04-03 13:07:05.0756,-2.5,-0.7,2003-04-03 13:10:01.0756,-2.1,-0.9,2003-04-03 13:13:30.0756,-3.2,-1.1,-0.6879628041406736,-0.48756726029333736,-0.5017565893605577,0.8174572589203665,-0.14871623187561345,0.605794645811535
2003-04-03 13:07:05.0761,-2.5,-0.7,2003-04-03 13:10:01.0761,-2.1,-1.1,2003-04-03 13:13:30.0761,-3.5,-1.3,-0.6415629722848393,-0.4680118434775231,-0.5129413581967405,0.7624987516028078,-0.20411433521704367,0.5353421621161302
2003-04-03 13:07:05.0767,-2.4,-0.9,2003-04-03 13:10:01.0767,-2.1,-1.3,2003-04-03 13:13:30.0767,-3.8,-1.3,-0.5820622090192545,-0.4487641687428386,-0.5246138731269113,0.6967890218043526,-0.25814216758709396,0.46574639672232243
2003-04-03 13:07:05.0773,-2.4,-0.9,2003-04-03 13:10:01.0773,-2.1,-1.6,2003-04-03 13:13:30.0773,-3.9,-1.1,-0.5115455395139802,-0.43152670468374515,-0.5360026094724599,0.6221550173587374,-0.31076938152842526,0.39750491081169687
