TIME_1,RE_1,LE_1,RE_1_processed,LE_1_processed
2003-08-08 11:43:52.0248,-0.9,-0.2,0.17986950100939492,-0.08722713539443817
2003-08-08 11:43:52.0254,-1.0,-0.2,0.16206334790392904,-0.12769608175381458
2003-08-08 11:43:52.0260,-1.1,-0.3,0.14656460278692493,-0.16856667427902508
2003-08-08 11:43:52.0266,-1.2,-0.4,0.13364864333273177,-0.20923516798661798
2003-08-08 11:43:52.0272,-1.2,-0.5,0.1236049356382596,-0.24900636581786978
2003-08-08 11:43:52.0277,-1.3,-0.5,0.11673295690465711,-0.2871066276587221
2003-08-08 11:43:52.0283,-1.2,-0.7,0.11333722971431913,-0.32270035194797597
2003-08-08 11:43:52.0289,-1.3,-0.8,0.11372179205484753,-0.35490927085919954
2003-08-08 11:43:52.0295,-1.3,-0.9,0.11818440917109901,-0.3828337856028116
2003-08-08 11:43:52.0301,-1.3,-0.8,0.12701079529937515,-0.40557552101538324
2003-08-08 11:43:52.0307,-1.3,-0.8,0.14046906050947602,-0.42226030949069593
2003-08-08 11:43:52.0313,-1.2,-0.8,0.15880452772530207,-0.4320609115770935
2003-08-08 11:43:52.0319,-1.1,-0.7,0.18223497682009207,-0.4342189036982296
2003-08-08 11:43:52.0325,-1.0,-0.7,0.21094627600838795,-0.4280652677093159
2003-08-08 11:43:52.0331,-0.9,-0.8,0.24508827495496188,-0.4130392778021703
2003-08-08 11:43:52.0336,-0.9,-0.7,0.2847707799704914,-0.38870529671274845
2003-08-08 11:43:52.0342,-0.8,-0.8,0.33005942037387126,-0.35476708334899393
2003-08-08 11:43:52.0348,-0.7,-0.7,0.3809712412899442,-0.31107920816156803
2003-08-08 11:43:52.0354,-0.5,-0.6,0.43746990600914615,-0.2576551984475239
2003-08-08 11:43:52.0360,-0.4,-0.5,0.499460449504353,-0.19467210379229882
2003-08-08 11:43:52.0366,-0.3,-0.5,0.5667835978166994,-0.12247127260000494
2003-08-08 11:43:52.0372,-0.3,-0.4,0.6392097677704585,-0.0415552447465136
2003-08-08 11:43:52.0378,-0.2,-0.2,0.7164329892409956,0.04741921848975945
2003-08-08 11:43:52.0384,-0.1,0.0,0.7980651289740857,0.14365182425931372
2003-08-08 11:43:52.0390,0.0,0.0,0.883630911346888,0.24621288621087478
2003-08-08 11:43:52.0395,0.1,0.2,0.9725643064522572,0.3540605199231545
2003-08-08 11:43:52.0401,0.1,0.4,1.064206884196168,0.4660604116764712
2003-08-08 11:43:52.0407,0.3,0.6,1.1578087158092127,0.5810076085126458
2003-08-08 11:43:52.0413,0.4,0.7,1.2525323378566815,0.6976497278507708
2003-08-08 11:43:52.0419,0.5,0.9,1.34746017296457,0.8147109606205222
2003-08-08 11:43:52.0425,0.7,0.9,1.44160562809452,0.930916254253908
2003-08-08 11:43:52.0431,0.9,1.1,1.5339278761681558,1.045015105301586
2003-08-08 11:43:52.0437,1.2,1.3,1.6233500850479443,1.1558044428940326
2003-08-08 11:43:52.0443,1.4,1.4,1.7087806102408856,1.2621501222073759
2003-08-08 11:43:52.0449,1.6,1.5,1.7891364450271483,1.3630065687372748
2003-08-08 11:43:52.0455,1.7,1.7,1.863368056453509,1.4574341334462861
2003-08-08 11:43:52.0460,1.8,1.8,1.930484645098026,1.544613747969577
2003-08-08 11:43:52.0466,1.9,1.9,1.9895788441988818,1.6238585103593606
2003-08-08 11:43:52.0472,2.1,2.1,2.0398498965131173,1.6946218872295313
2003-08-08 11:43:52.0478,2.3,2.1,2.080624393581913,1.756502294549991
2003-08-08 11:43:52.0484,2.3,2.2,2.11137372899521,1.8092439233959468
2003-08-08 11:43:52.0490,2.4,2.1,2.1317275218449088,1.8527338092833658
2003-08-08 11:43:52.0496,2.3,2.3,2.1414824271119666,1.8869952935645402
2003-08-08 11:43:52.0502,2.3,2.3,2.140605964235246,1.9121781714101793
2003-08-08 11:43:52.0508,2.2,2.2,2.129235239131089,1.9285459468451418
2003-08-08 11:43:52.0514,2.2,2.2,2.1076706769902955,1.9364607217820213
2003-08-08 11:43:52.0519,2.1,2.2,2.0763651000914467,1.93636633670264
2003-08-08 11:43:52.0525,2.0,2.2,2.035908667973039,1.9287704443317484
2003-08-08 11:43:52.0531,1.8,2.1,1.9870103487837283,1.9142262186566807
2003-08-08 11:43:52.0537,1.6,2.1,1.930476712231477,1.8933143795348275
2003-08-08 11:43:52.0543,1.5,2.1,1.8671889174814307,1.8666261579985441
2003-08-08 11:43:52.0549,1.4,2.1,1.7980787963385318,1.8347477460293178
2003-08-08 11:43:52.0555,1.3,2.0,1.7241048923844362,1.7982466740341692
2003-08-08 11:43:52.0561,1.2,2.0,1.6462292198092485,1.7576604537706975
2003-08-08 11:43:52.0567,1.1,1.9,1.5653953778105194,1.7134877268678645
2003-08-08 11:43:52.0573,1.0,1.8,1.4825085251950212,1.6661820696132614
2003-08-08 11:43:52.0578,0.9,1.8,1.3984176033190021,1.6161485135258273
2003-08-08 11:43:52.0584,0.7,1.8,1.3139001027369734,1.5637427382770392
2003-08-08 11:43:52.0590,0.5,1.6,1.229649602083845,1.5092727764978098
2003-08-08 11:43:52.0596,0.4,1.6,1.1462662599410969,1.45300294711952
2003-08-08 11:43:52.0602,0.3,1.7,1.0642503955616587,1.395159614747661
2003-08-08 11:43:52.0608,0.1,1.6,0.9839992368590659,1.3359382605993209
2003-08-08 11:43:52.0614,0.0,1.6,0.9058068411196014,1.2755112552958654
2003-08-08 11:43:52.0620,-0.1,1.5,0.8298671126793318,1.2140356701349417
2003-08-08 11:43:52.0626,-0.4,1.5,0.7562797572270293,1.1516604722515735
2003-08-08 11:43:52.0632,-0.4,1.5,0.6850589218863302,1.0885325184672243
2003-08-08 11:43:52.0637,-0.4,1.4,0.6161441669669331,1.0248008797595096
2003-08-08 11:43:52.0643,-0.5,1.2,0.5494132959212725,0.9606191881258395
2003-08-08 11:43:52.0649,-0.5,1.1,0.4846964466911233,0.8961458973769066
2003-08-08 11:43:52.0655,-0.5,1.0,0.42179074905538705,0.8315425687491731
2003-08-08 11:43:52.0661,-0.6,0.9,0.36047480724585756,0.7669704928019924
2003-08-08 11:43:52.0667,-0.7,0.8,0.30052228911239154,0.7025861093813195
2003-08-08 11:43:52.0673,-0.7,0.7,0.2417139927447384,0.6385357811986633
2003-08-08 11:43:52.0679,-0.9,0.5,0.18384790854206948,0.5749505235565789
2003-08-08 11:43:52.0685,-1.1,0.4,0.12674698216512464,0.511941298955773
2003-08-08 11:43:52.0691,-1.3,0.3,0.07026449063409865,0.44959544384912675
2003-08-08 11:43:52.0697,-1.5,0.3,0.01428714178546695,0.3879746919877244
2003-08-08 11:43:52.0702,-1.6,0.2,-0.04126383993329361,0.3271150904637103
2003-08-08 11:43:52.0708,-1.6,0.2,-0.0964333010607374,0.26702888774831113
2003-08-08 11:43:52.0714,-1.6,0.3,-0.15123408369061558,0.20770823995186619
2003-08-08 11:43:52.0720,-1.7,0.2,-0.20565001059596932,0.14913036583860872
2003-08-08 11:43:52.0726,-1.8,0.1,-0.259639727233527,0.09126361282263672
