TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2007-12-20 14:37:55.0224,-1.6,-2.1,2007-12-20 14:38:30.0224,-1.4,-0.6,2007-12-20 11:22:09.0224,1.0,0.9,2007-12-20 11:26:01.0224,-0.1,0.2,-0.7188816696243109,-0.08333286780236676,-0.3223719288606199,-0.04105919391834421,-0.021095233613866556,0.9500573120336044,-1.106055007130327,1.3145054490232757
2007-12-20 14:37:55.0230,-1.7,-2.4,2007-12-20 14:38:30.0230,-1.3,-0.8,2007-12-20 11:22:09.0230,1.2,1.0,2007-12-20 11:26:01.0230,0.0,0.2,-0.751847117350531,-0.13180372248291736,-0.3242637662180045,-0.07795170168180292,0.13758189601910578,0.985687585908786,-1.0807925090492785,1.2855029963873654
2007-12-20 14:37:55.0236,-1.7,-2.8,2007-12-20 14:38:30.0236,-1.2,-1.1,2007-12-20 11:22:09.0236,1.3,1.2,2007-12-20 11:26:01.0236,0.1,0.1,-0.7779314626255271,-0.17759313813207372,-0.3258677332757786,-0.11202273494518593,0.3050121630029205,1.023270824979561,-1.0548676634374405,1.2607621708978622
2007-12-20 14:37:55.0242,-1.7,-3.1,2007-12-20 14:38:30.0242,-1.3,-1.4,2007-12-20 11:22:09.0242,1.5,1.2,2007-12-20 11:26:01.0242,0.3,0.2,-0.796911647985724,-0.21949509355432073,-0.327421876730377,-0.1425692269064733,0.47616667158023285,1.0620255804132093,-1.0296331175556959,1.2395589212993139
2007-12-20 14:37:55.0248,-1.8,-3.5,2007-12-20 14:38:30.0248,-1.3,-1.6,2007-12-20 11:22:09.0248,1.8,1.4,2007-12-20 11:26:01.0248,0.5,0.2,-0.8086795301657004,-0.2563406776760136,-0.3290690907711659,-0.168951450976239,0.645924772885325,1.1011169484057057,-1.0064233720316789,1.221056507622882
2007-12-20 14:37:55.0254,-1.8,-3.7,2007-12-20 14:38:30.0254,-1.3,-1.8,2007-12-20 11:22:09.0254,1.9,1.4,2007-12-20 11:26:01.0254,0.6,0.0,-0.8132399757882435,-0.28703299211660266,-0.33084729946016994,-0.1906079390246332,0.8092336420176532,1.1396846338762052,-0.9865058554783399,1.2043309832274895
2007-12-20 14:37:55.0260,-2.0,-3.9,2007-12-20 14:38:30.0260,-1.4,-1.9,2007-12-20 11:22:09.0260,1.7,1.4,2007-12-20 11:26:01.0260,0.3,-0.2,-0.8107053456791413,-0.3105801424337464,-0.3326833339187918,-0.20706684743405543,0.9612644010411546,1.1768716996738458,-0.9710353443945275,1.188398885435714
2007-12-20 14:37:55.0266,-2.0,-4.0,2007-12-20 14:38:30.0266,-1.5,-2.0,2007-12-20 11:22:09.0266,1.8,1.5,2007-12-20 11:26:01.0266,0.2,-0.3,-0.8012863494435248,-0.32612497653084266,-0.334390631238503,-0.21795317118586474,1.097560259583398,1.211853005290151,-0.9610133020406512,1.1722468161697932
2007-12-20 14:37:55.0272,-1.9,-3.9,2007-12-20 14:38:30.0272,-1.5,-1.8,2007-12-20 11:22:09.0272,1.9,1.6,2007-12-20 11:26:01.0272,0.1,-0.3,-0.7852793848184135,-0.332970384945286,-0.335670751786257,-0.22299146609050827,1.214172646593291,1.2438623787955705,-0.9572532440937366,1.1548626355204714
2007-12-20 14:37:55.0277,-1.7,-3.8,2007-12-20 14:38:30.0277,-1.5,-1.6,2007-12-20 11:22:09.0277,2.0,1.8,2007-12-20 11:26:01.0277,0.1,-0.2,-0.7630506402381177,-0.3305992063995674,-0.3361186006028514,-0.22200405106788218,1.3077817681799841,1.2722176067290656,-0.9603527842314034,1.1352679053232986
